5, 636, 1392, 15024, 319, -32, -501
17, 668, 1464, 14928, 201, -194, -494
30, 688, 1424, 15196, 95, -388, -428
67, 796, 1376, 15200, 78, -622, -360
107, 808, 1452, 14824, 110, -768, -276
148, 984, 1476, 14968, 140, -220, -262
190, 744, 1396, 14912, 100, -149, -57
231, 884, 1368, 15340, 23, -357, -322
271, 672, 1360, 15116, 273, 124, -335
312, 684, 1240, 15116, 244, -405, 50
351, 972, 1416, 14952, 149, -183, -203
393, 856, 1248, 14936, 109, -73, -152
434, 736, 1348, 15384, 67, -389, -221
474, 840, 1316, 14600, 59, -7, -234
513, 884, 1444, 15752, 211, -309, 12
551, 1116, 1132, 14888, 299, -155, -84
593, 968, 1408, 14872, 246, -340, -404
635, 724, 1484, 14944, 159, -132, -158
676, 756, 1352, 14900, 69, -193, -81
716, 700, 1384, 15132, 262, -175, -141
758, 980, 1228, 15168, 120, -247, -16
798, 844, 1372, 15044, -105, -560, -168
841, 1176, 1080, 15056, 305, -280, -290
883, 756, 1452, 14980, 201, -521, -242
925, 784, 1396, 15060, 145, -208, -155
967, 1080, 1092, 15068, 380, -388, -37
1008, 708, 1376, 14988, 145, -345, -258
1051, 948, 1236, 15152, 69, -569, -18
1092, 604, 1564, 15412, 105, -366, -96
1133, 1228, 1092, 15156, 191, -257, 138
1176, 1228, 1020, 15340, 107, -545, -193
1219, 872, 1228, 14956, 52, -751, -341
1261, 644, 1524, 14320, 92, -599, -193
1303, 628, 1456, 14756, -265, -213, 69
1344, 868, 1448, 15640, -61, -674, 332
1386, 1328, 1064, 15092, 201, -589, 253
1429, 1380, 1000, 15304, 134, -450, 245
1471, 1596, 1076, 15104, 239, -275, -396
1515, 1040, 1400, 15044, 197, -266, -168
1559, 1380, 1092, 14844, -102, -215, -303
1603, 1140, 1236, 15276, 259, 53, -436
1645, 1076, 1172, 15112, 243, -373, -172
1688, 884, 1224, 15312, 243, -239, -49
1730, 1364, 1028, 14724, 370, -200, -243
1774, 1060, 1252, 14544, 119, -273, -138
1817, 728, 1432, 15404, 131, -366, 45
1858, 1500, 956, 14952, 257, -239, 202
1900, 1052, 1388, 15392, 248, -543, -224
1943, 1384, 1104, 14924, 261, -298, -68
1986, 1116, 1364, 14904, 248, -360, -135
2030, 1128, 1180, 15072, 203, -367, -74
2072, 1280, 1144, 14868, 205, -150, -193
2116, 1016, 1412, 15148, 219, -191, -139
2160, 1204, 1092, 15288, 271, -339, -125
2203, 1072, 1216, 14988, 228, -393, -262
2247, 768, 1544, 15092, 384, -465, 116
2289, 2144, 1056, 14796, 175, -864, 673
2331, 2852, 604, 14596, -145, -676, -375
2375, 2060, 1412, 13964, -1048, -867, -565
2420, 5404, 560, 13816, -1867, -2062, -760
2466, 5612, 64, 16420, -3386, 660, -2842
2510, 4244, 1236, 20284, -1842, -3383, -1320
2558, 4956, -600, 17644, -778, -1266, -5205
2605, 3588, 56, 21672, 1078, -4452, -5150
2650, 3232, -1160, 17320, 3213, -3540, -7333
2698, 916, 1312, 18256, 4211, -2391, -8147
2743, -488, 2076, 14716, 6406, -609, -7959
2789, -2392, 2748, 14228, 6888, 785, -5141
2835, -4424, 3528, 16024, 7798, 524, -2227
2880, -4072, 2924, 14172, 8169, 3231, -69
2925, -3212, 2468, 14232, 9280, 4452, 1525
2971, -6532, 4432, 9336, 5884, 7045, 7627
3015, -1512, 1884, 13472, 4566, 4266, 8610
3061, -2156, 3080, 8440, 2955, 1428, 10042
3107, 1492, 2296, 9016, 1228, 4476, 10156
3151, -1260, 4444, 10956, -2572, 2898, 8799
3198, 3832, 2424, 9352, -4019, 1093, 10333
3245, 5072, 2280, 9308, -5859, 3142, 4763
3290, 3240, 3440, 9700, -8639, 884, 6206
3333, 7080, 492, 12036, -12101, 1885, 4265
3379, 6392, 1888, 17860, -10854, -842, 3606
3426, 11016, -748, 20128, -7512, -966, 2796
3472, 14836, -2164, 19792, -6512, -4691, -2218
3522, 6664, 1184, 22440, -2634, -689, -7577
3569, 3204, 944, 18768, 824, -2562, -5221
3613, 2284, -148, 16752, 872, -919, -8155
3658, -1124, 1132, 19696, 1085, -357, -7506
3705, -880, 524, 18140, 3394, -35, -6430
3748, -2656, 1316, 16508, 3691, -425, -5162
3795, -1784, 1044, 14384, 3262, 1229, -3525
3843, -1144, 1428, 13456, 3071, 1377, -2267
3890, -56, 1592, 13464, 1321, -258, -651
3933, 1388, 1456, 13432, 1438, 1837, -66
3977, 1864, 1812, 13864, 484, -68, -1222
4021, 504, 2540, 13916, 382, 296, -138
4062, 2124, 1896, 14552, 17, -85, -174
4104, 988, 2432, 14884, 66, 163, -400
4144, 1232, 2272, 14840, 78, -368, 8
4184, 1264, 2456, 14652, -63, -414, 278
4227, 1712, 2232, 15552, 30, -877, 483
4268, 1768, 1960, 14944, 308, -889, 536
4311, 2368, 1828, 14960, 178, -446, 148
4354, 2084, 2004, 15204, 119, -495, -356
4397, 1584, 2164, 14792, 135, -600, -282
4441, 1964, 1984, 14732, 34, -176, -498
4483, 1016, 2420, 14608, -65, -305, -441
4527, 1652, 2096, 15340, 29, -37, 23
4567, 1660, 1996, 15304, 230, -536, -442
4610, 1608, 2248, 15468, 189, -404, 0
4651, 2292, 1828, 15120, 422, -290, -168
4695, 1448, 2248, 15220, 324, -232, -182
4738, 1860, 1992, 14620, 384, -359, -42
